#Data extracted from Ferreira et. al, JCP2015, DOI:10.1063/1.4906274
#Experimental	error
gamma	1	7.0586272563029E-11	1.27055290613452E-11
beta	2	3.29226956818957E-10	5.92608522274123E-11
alpha	3	4.08824199612623E-10	7.35883559302722E-11
g3	4	1.48224516535564E-09	2.66804129764015E-10
g2	5	2.16303976301698E-09	3.89347157343056E-10
G1_1	6	2.85093270635027E-09	5.13167887143049E-10
			
			
			
#palmitoyl	
  2	1.5854790930842E-09	2.85386236755156E-10
	3	8.13432835820896E-10	1.46417910447761E-10
	16	1.80884698644181E-10	3.25592457559526E-11
			
			
#oleonyl	
  2	1.5854790930842E-09	2.85386236755156E-10
	3	8.13432835820896E-10	1.46417910447761E-10	
	8	4.61889028141732E-10	8.31400250655118E-11
	9	4.66503361057308E-10	8.39706049903155E-11
	10	3.37302039421212E-10	6.07143670958182E-11
	11	1.9220690440925E-10	3.4597242793665E-11
	16	1.80884698644181E-10	3.25592457559526E-11
	17	1.27221715848235E-10	2.28999088526823E-11
	18	1.2857727324514E-11	2.31439091841252E-12
